|base_currency|target_currency|rate|timestamp
0|USD|USD|1.0|1758412802
1|USD|AED|3.6725|1758412802
2|USD|AFN|67.2552|1758412802
3|USD|ALL|81.8676|1758412802
4|USD|AMD|382.855|1758412802
5|USD|ANG|1.79|1758412802
6|USD|AOA|918.9789|1758412802
7|USD|ARS|1474.75|1758412802
8|USD|AUD|1.5155|1758412802
9|USD|AWG|1.79|1758412802
10|USD|AZN|1.7005|1758412802
11|USD|BAM|1.664|1758412802
12|USD|BBD|2.0|1758412802
13|USD|BDT|121.6987|1758412802
14|USD|BGN|1.6641|1758412802
15|USD|BHD|0.376|1758412802
16|USD|BIF|2966.9048|1758412802
17|USD|BMD|1.0|1758412802
18|USD|BND|1.2842|1758412802
19|USD|BOB|6.9242|1758412802
20|USD|BRL|5.3142|1758412802
21|USD|BSD|1.0|1758412802
22|USD|BTN|88.1572|1758412802
23|USD|BWP|14.1557|1758412802
24|USD|BYN|3.1693|1758412802
25|USD|BZD|2.0|1758412802
26|USD|CAD|1.3789|1758412802
27|USD|CDF|2807.2282|1758412802
28|USD|CHF|0.7951|1758412802
29|USD|CLP|953.8259|1758412802
30|USD|CNY|7.1176|1758412802
31|USD|COP|3867.1525|1758412802
32|USD|CRC|503.8378|1758412802
33|USD|CUP|24.0|1758412802
34|USD|CVE|93.8112|1758412802
35|USD|CZK|20.6622|1758412802
36|USD|DJF|177.721|1758412802
37|USD|DKK|6.3473|1758412802
38|USD|DOP|62.1107|1758412802
39|USD|DZD|129.141|1758412802
40|USD|EGP|48.1843|1758412802
41|USD|ERN|15.0|1758412802
42|USD|ETB|142.6589|1758412802
43|USD|EUR|0.8508|1758412802
44|USD|FJD|2.237|1758412802
45|USD|FKP|0.7416|1758412802
46|USD|FOK|6.3473|1758412802
47|USD|GBP|0.7416|1758412802
48|USD|GEL|2.7327|1758412802
49|USD|GGP|0.7416|1758412802
50|USD|GHS|12.7739|1758412802
51|USD|GIP|0.7416|1758412802
52|USD|GMD|73.3789|1758412802
53|USD|GNF|8681.459|1758412802
54|USD|GTQ|7.6606|1758412802
55|USD|GYD|209.0943|1758412802
56|USD|HKD|7.776|1758412802
57|USD|HNL|26.2141|1758412802
58|USD|HRK|6.4102|1758412802
59|USD|HTG|130.9279|1758412802
60|USD|HUF|331.7925|1758412802
61|USD|IDR|16628.1006|1758412802
62|USD|ILS|3.336|1758412802
63|USD|IMP|0.7416|1758412802
64|USD|INR|88.1573|1758412802
65|USD|IQD|1307.6244|1758412802
66|USD|IRR|42242.2206|1758412802
67|USD|ISK|121.7184|1758412802
68|USD|JEP|0.7416|1758412802
69|USD|JMD|160.2556|1758412802
70|USD|JOD|0.709|1758412802
71|USD|JPY|147.9445|1758412802
72|USD|KES|129.1501|1758412802
73|USD|KGS|87.2909|1758412802
74|USD|KHR|4005.3719|1758412802
75|USD|KID|1.5155|1758412802
76|USD|KMF|418.5559|1758412802
77|USD|KRW|1395.048|1758412802
78|USD|KWD|0.3053|1758412802
79|USD|KYD|0.8333|1758412802
80|USD|KZT|541.3223|1758412802
81|USD|LAK|21690.8285|1758412802
82|USD|LBP|89500.0|1758412802
83|USD|LKR|301.9098|1758412802
84|USD|LRD|177.1118|1758412802
85|USD|LSL|17.3514|1758412802
86|USD|LYD|5.3881|1758412802
87|USD|MAD|9.0127|1758412802
88|USD|MDL|16.529|1758412802
89|USD|MGA|4446.1482|1758412802
90|USD|MKD|52.514|1758412802
91|USD|MMK|2100.1782|1758412802
92|USD|MNT|3587.2221|1758412802
93|USD|MOP|8.0093|1758412802
94|USD|MRU|39.9739|1758412802
95|USD|MUR|45.3355|1758412802
96|USD|MVR|15.4368|1758412802
97|USD|MWK|1743.18|1758412802
98|USD|MXN|18.3978|1758412802
99|USD|MYR|4.2037|1758412802
100|USD|MZN|63.6542|1758412802
101|USD|NAD|17.3514|1758412802
102|USD|NGN|1488.747|1758412802
103|USD|NIO|36.8|1758412802
104|USD|NOK|9.9352|1758412802
105|USD|NPR|141.0515|1758412802
106|USD|NZD|1.7059|1758412802
107|USD|OMR|0.3845|1758412802
108|USD|PAB|1.0|1758412802
109|USD|PEN|3.4886|1758412802
110|USD|PGK|4.2061|1758412802
111|USD|PHP|57.0918|1758412802
112|USD|PKR|283.7201|1758412802
113|USD|PLN|3.6245|1758412802
114|USD|PYG|7112.8755|1758412802
115|USD|QAR|3.64|1758412802
116|USD|RON|4.313|1758412802
117|USD|RSD|99.3598|1758412802
118|USD|RUB|83.3909|1758412802
119|USD|RWF|1451.3869|1758412802
120|USD|SAR|3.75|1758412802
121|USD|SBD|8.1752|1758412802
122|USD|SCR|14.7193|1758412802
123|USD|SDG|508.4824|1758412802
124|USD|SEK|9.4069|1758412802
125|USD|SGD|1.2842|1758412802
126|USD|SHP|0.7416|1758412802
127|USD|SLE|23.2685|1758412802
128|USD|SLL|23268.5291|1758412802
129|USD|SOS|570.7872|1758412802
130|USD|SRD|38.4126|1758412802
